station,modality,filename,date,nan_frac,path
AmeriFlux_CA-Cbo,S2L2A,20190709.tif,20190709,0.7394770408163265,/gpfs/scratch1/shared/pkhanal/satellite/AmeriFlux_CA-Cbo/S2L2A/20190709.tif
AmeriFlux_CA-Cbo,S2L2A,20190714.tif,20190714,0.6887755102040817,/gpfs/scratch1/shared/pkhanal/satellite/AmeriFlux_CA-Cbo/S2L2A/20190714.tif
AmeriFlux_CA-Cbo,S2L2A,20190724.tif,20190724,0.7705676020408163,/gpfs/scratch1/shared/pkhanal/satellite/AmeriFlux_CA-Cbo/S2L2A/20190724.tif
AmeriFlux_CA-Cbo,S2L2A,20190803.tif,20190803,0.7763073979591837,/gpfs/scratch1/shared/pkhanal/satellite/AmeriFlux_CA-Cbo/S2L2A/20190803.tif
AmeriFlux_CA-Cbo,S2L2A,20190808.tif,20190808,0.7092235331632653,/gpfs/scratch1/shared/pkhanal/satellite/AmeriFlux_CA-Cbo/S2L2A/20190808.tif
AmeriFlux_CA-Cbo,S2L2A,20190813.tif,20190813,0.7610012755102041,/gpfs/scratch1/shared/pkhanal/satellite/AmeriFlux_CA-Cbo/S2L2A/20190813.tif
AmeriFlux_CA-Cbo,S2L2A,20190818.tif,20190818,0.6402264030612245,/gpfs/scratch1/shared/pkhanal/satellite/AmeriFlux_CA-Cbo/S2L2A/20190818.tif
AmeriFlux_CA-Cbo,S2L2A,20190823.tif,20190823,0.7820471938775511,/gpfs/scratch1/shared/pkhanal/satellite/AmeriFlux_CA-Cbo/S2L2A/20190823.tif
AmeriFlux_CA-Cbo,S2L2A,20190828.tif,20190828,0.5409956951530612,/gpfs/scratch1/shared/pkhanal/satellite/AmeriFlux_CA-Cbo/S2L2A/20190828.tif
AmeriFlux_CA-Cbo,S2L2A,20191012.tif,20191012,0.5852200255102041,/gpfs/scratch1/shared/pkhanal/satellite/AmeriFlux_CA-Cbo/S2L2A/20191012.tif
AmeriFlux_CA-Cbo,S2L2A,20191022.tif,20191022,0.7077885841836735,/gpfs/scratch1/shared/pkhanal/satellite/AmeriFlux_CA-Cbo/S2L2A/20191022.tif
AmeriFlux_CA-Cbo,S2L2A,20200509.tif,20200509,0.8516422193877551,/gpfs/scratch1/shared/pkhanal/satellite/AmeriFlux_CA-Cbo/S2L2A/20200509.tif
AmeriFlux_CA-Cbo,S2L2A,20200608.tif,20200608,0.8624043367346939,/gpfs/scratch1/shared/pkhanal/satellite/AmeriFlux_CA-Cbo/S2L2A/20200608.tif
AmeriFlux_CA-Cbo,S2L2A,20200618.tif,20200618,0.6966677295918368,/gpfs/scratch1/shared/pkhanal/satellite/AmeriFlux_CA-Cbo/S2L2A/20200618.tif
AmeriFlux_CA-Cbo,S2L2A,20200628.tif,20200628,0.5663265306122449,/gpfs/scratch1/shared/pkhanal/satellite/AmeriFlux_CA-Cbo/S2L2A/20200628.tif
AmeriFlux_CA-Cbo,S2L2A,20200728.tif,20200728,0.5699139030612245,/gpfs/scratch1/shared/pkhanal/satellite/AmeriFlux_CA-Cbo/S2L2A/20200728.tif
AmeriFlux_CA-Cbo,S2L2A,20200807.tif,20200807,0.6570870535714286,/gpfs/scratch1/shared/pkhanal/satellite/AmeriFlux_CA-Cbo/S2L2A/20200807.tif
AmeriFlux_CA-Cbo,S2L2A,20200817.tif,20200817,0.7063536352040817,/gpfs/scratch1/shared/pkhanal/satellite/AmeriFlux_CA-Cbo/S2L2A/20200817.tif
AmeriFlux_CA-Cbo,S2L2A,20200906.tif,20200906,0.8002232142857143,/gpfs/scratch1/shared/pkhanal/satellite/AmeriFlux_CA-Cbo/S2L2A/20200906.tif
AmeriFlux_CA-Cbo,S2L2A,20200911.tif,20200911,0.5438456632653061,/gpfs/scratch1/shared/pkhanal/satellite/AmeriFlux_CA-Cbo/S2L2A/20200911.tif
AmeriFlux_CA-Cbo,S2L2A,20200916.tif,20200916,0.5330835459183674,/gpfs/scratch1/shared/pkhanal/satellite/AmeriFlux_CA-Cbo/S2L2A/20200916.tif
AmeriFlux_CA-Cbo,S2L2A,20201006.tif,20201006,0.7516741071428571,/gpfs/scratch1/shared/pkhanal/satellite/AmeriFlux_CA-Cbo/S2L2A/20201006.tif
AmeriFlux_CA-Cbo,S2L2A,20201016.tif,20201016,0.7052774234693877,/gpfs/scratch1/shared/pkhanal/satellite/AmeriFlux_CA-Cbo/S2L2A/20201016.tif
AmeriFlux_CA-Cbo,S2L2A,20201120.tif,20201120,0.5120376275510204,/gpfs/scratch1/shared/pkhanal/satellite/AmeriFlux_CA-Cbo/S2L2A/20201120.tif
AmeriFlux_US-BZo,S2L2A,20200229.tif,20200229,0.9182278380102041,/gpfs/scratch1/shared/pkhanal/satellite/AmeriFlux_US-BZo/S2L2A/20200229.tif
AmeriFlux_US-BZo,S2L2A,20211110.tif,20211110,0.9379783163265306,/gpfs/scratch1/shared/pkhanal/satellite/AmeriFlux_US-BZo/S2L2A/20211110.tif
AmeriFlux_US-GLE,S2L2A,20170214.tif,20170214,0.6224489795918368,/gpfs/scratch1/shared/pkhanal/satellite/AmeriFlux_US-GLE/S2L2A/20170214.tif
AmeriFlux_US-GLE,S2L2A,20170306.tif,20170306,0.7410714285714286,/gpfs/scratch1/shared/pkhanal/satellite/AmeriFlux_US-GLE/S2L2A/20170306.tif
AmeriFlux_US-GLE,S2L2A,20170614.tif,20170614,0.8214285714285714,/gpfs/scratch1/shared/pkhanal/satellite/AmeriFlux_US-GLE/S2L2A/20170614.tif
AmeriFlux_US-GLE,S2L2A,20170704.tif,20170704,0.5727040816326531,/gpfs/scratch1/shared/pkhanal/satellite/AmeriFlux_US-GLE/S2L2A/20170704.tif
AmeriFlux_US-GLE,S2L2A,20170724.tif,20170724,0.9752869897959183,/gpfs/scratch1/shared/pkhanal/satellite/AmeriFlux_US-GLE/S2L2A/20170724.tif
AmeriFlux_US-GLE,S2L2A,20170917.tif,20170917,0.9275749362244898,/gpfs/scratch1/shared/pkhanal/satellite/AmeriFlux_US-GLE/S2L2A/20170917.tif
AmeriFlux_US-GLE,S2L2A,20170922.tif,20170922,0.9209980867346939,/gpfs/scratch1/shared/pkhanal/satellite/AmeriFlux_US-GLE/S2L2A/20170922.tif
AmeriFlux_US-GLE,S2L2A,20171126.tif,20171126,0.786750637755102,/gpfs/scratch1/shared/pkhanal/satellite/AmeriFlux_US-GLE/S2L2A/20171126.tif
AmeriFlux_US-GLE,S2L2A,20171206.tif,20171206,0.9512515943877551,/gpfs/scratch1/shared/pkhanal/satellite/AmeriFlux_US-GLE/S2L2A/20171206.tif
AmeriFlux_US-GLE,S2L2A,20171211.tif,20171211,0.8290816326530612,/gpfs/scratch1/shared/pkhanal/satellite/AmeriFlux_US-GLE/S2L2A/20171211.tif
AmeriFlux_US-GLE,S2L2A,20171226.tif,20171226,0.7688137755102041,/gpfs/scratch1/shared/pkhanal/satellite/AmeriFlux_US-GLE/S2L2A/20171226.tif
AmeriFlux_US-GLE,S2L2A,20171231.tif,20171231,0.9738520408163265,/gpfs/scratch1/shared/pkhanal/satellite/AmeriFlux_US-GLE/S2L2A/20171231.tif
AmeriFlux_US-GLE,S2L2A,20180105.tif,20180105,0.9088010204081632,/gpfs/scratch1/shared/pkhanal/satellite/AmeriFlux_US-GLE/S2L2A/20180105.tif
AmeriFlux_US-GLE,S2L2A,20180115.tif,20180115,0.9021045918367347,/gpfs/scratch1/shared/pkhanal/satellite/AmeriFlux_US-GLE/S2L2A/20180115.tif
AmeriFlux_US-GLE,S2L2A,20180125.tif,20180125,0.9512515943877551,/gpfs/scratch1/shared/pkhanal/satellite/AmeriFlux_US-GLE/S2L2A/20180125.tif
AmeriFlux_US-GLE,S2L2A,20180209.tif,20180209,0.9621332908163265,/gpfs/scratch1/shared/pkhanal/satellite/AmeriFlux_US-GLE/S2L2A/20180209.tif
AmeriFlux_US-GLE,S2L2A,20180306.tif,20180306,0.8498883928571429,/gpfs/scratch1/shared/pkhanal/satellite/AmeriFlux_US-GLE/S2L2A/20180306.tif
AmeriFlux_US-GLE,S2L2A,20180316.tif,20180316,0.5674426020408163,/gpfs/scratch1/shared/pkhanal/satellite/AmeriFlux_US-GLE/S2L2A/20180316.tif
AmeriFlux_US-GLE,S2L2A,20180321.tif,20180321,0.9410873724489796,/gpfs/scratch1/shared/pkhanal/satellite/AmeriFlux_US-GLE/S2L2A/20180321.tif
AmeriFlux_US-GLE,S2L2A,20180326.tif,20180326,0.7480070153061225,/gpfs/scratch1/shared/pkhanal/satellite/AmeriFlux_US-GLE/S2L2A/20180326.tif
AmeriFlux_US-GLE,S2L2A,20180410.tif,20180410,0.9989636479591837,/gpfs/scratch1/shared/pkhanal/satellite/AmeriFlux_US-GLE/S2L2A/20180410.tif
AmeriFlux_US-GLE,S2L2A,20180415.tif,20180415,0.9334343112244898,/gpfs/scratch1/shared/pkhanal/satellite/AmeriFlux_US-GLE/S2L2A/20180415.tif
AmeriFlux_US-GLE,S2L2A,20180425.tif,20180425,0.9363042091836735,/gpfs/scratch1/shared/pkhanal/satellite/AmeriFlux_US-GLE/S2L2A/20180425.tif
AmeriFlux_US-GLE,S2L2A,20180505.tif,20180505,0.9318797831632653,/gpfs/scratch1/shared/pkhanal/satellite/AmeriFlux_US-GLE/S2L2A/20180505.tif
AmeriFlux_US-GLE,S2L2A,20180515.tif,20180515,0.8154496173469388,/gpfs/scratch1/shared/pkhanal/satellite/AmeriFlux_US-GLE/S2L2A/20180515.tif
AmeriFlux_US-GLE,S2L2A,20180520.tif,20180520,0.9989636479591837,/gpfs/scratch1/shared/pkhanal/satellite/AmeriFlux_US-GLE/S2L2A/20180520.tif
AmeriFlux_US-GLE,S2L2A,20180525.tif,20180525,0.5925542091836735,/gpfs/scratch1/shared/pkhanal/satellite/AmeriFlux_US-GLE/S2L2A/20180525.tif
AmeriFlux_US-GLE,S2L2A,20180530.tif,20180530,0.9194435586734694,/gpfs/scratch1/shared/pkhanal/satellite/AmeriFlux_US-GLE/S2L2A/20180530.tif
AmeriFlux_US-GLE,S2L2A,20180604.tif,20180604,0.6353635204081632,/gpfs/scratch1/shared/pkhanal/satellite/AmeriFlux_US-GLE/S2L2A/20180604.tif
AmeriFlux_US-GLE,S2L2A,20180609.tif,20180609,0.6882174744897959,/gpfs/scratch1/shared/pkhanal/satellite/AmeriFlux_US-GLE/S2L2A/20180609.tif
AmeriFlux_US-GLE,S2L2A,20180614.tif,20180614,0.7939253826530612,/gpfs/scratch1/shared/pkhanal/satellite/AmeriFlux_US-GLE/S2L2A/20180614.tif
AmeriFlux_US-GLE,S2L2A,20180629.tif,20180629,0.8942123724489796,/gpfs/scratch1/shared/pkhanal/satellite/AmeriFlux_US-GLE/S2L2A/20180629.tif
AmeriFlux_US-GLE,S2L2A,20180704.tif,20180704,0.9451530612244898,/gpfs/scratch1/shared/pkhanal/satellite/AmeriFlux_US-GLE/S2L2A/20180704.tif
AmeriFlux_US-GLE,S2L2A,20180709.tif,20180709,0.9658402423469388,/gpfs/scratch1/shared/pkhanal/satellite/AmeriFlux_US-GLE/S2L2A/20180709.tif
AmeriFlux_US-GLE,S2L2A,20180714.tif,20180714,0.9408482142857143,/gpfs/scratch1/shared/pkhanal/satellite/AmeriFlux_US-GLE/S2L2A/20180714.tif
AmeriFlux_US-GLE,S2L2A,20180719.tif,20180719,0.9989636479591837,/gpfs/scratch1/shared/pkhanal/satellite/AmeriFlux_US-GLE/S2L2A/20180719.tif
AmeriFlux_US-GLE,S2L2A,20180724.tif,20180724,0.9013871173469388,/gpfs/scratch1/shared/pkhanal/satellite/AmeriFlux_US-GLE/S2L2A/20180724.tif
AmeriFlux_US-GLE,S2L2A,20180803.tif,20180803,0.8419961734693877,/gpfs/scratch1/shared/pkhanal/satellite/AmeriFlux_US-GLE/S2L2A/20180803.tif
AmeriFlux_US-GLE,S2L2A,20180808.tif,20180808,0.9965720663265306,/gpfs/scratch1/shared/pkhanal/satellite/AmeriFlux_US-GLE/S2L2A/20180808.tif
AmeriFlux_US-GLE,S2L2A,20180813.tif,20180813,0.7001753826530612,/gpfs/scratch1/shared/pkhanal/satellite/AmeriFlux_US-GLE/S2L2A/20180813.tif
AmeriFlux_US-GLE,S2L2A,20180823.tif,20180823,0.5358737244897959,/gpfs/scratch1/shared/pkhanal/satellite/AmeriFlux_US-GLE/S2L2A/20180823.tif
AmeriFlux_US-GLE,S2L2A,20180902.tif,20180902,0.6107302295918368,/gpfs/scratch1/shared/pkhanal/satellite/AmeriFlux_US-GLE/S2L2A/20180902.tif
AmeriFlux_US-GLE,S2L2A,20180912.tif,20180912,0.9196827168367347,/gpfs/scratch1/shared/pkhanal/satellite/AmeriFlux_US-GLE/S2L2A/20180912.tif
AmeriFlux_US-GLE,S2L2A,20180922.tif,20180922,0.6927614795918368,/gpfs/scratch1/shared/pkhanal/satellite/AmeriFlux_US-GLE/S2L2A/20180922.tif
AmeriFlux_US-GLE,S2L2A,20180927.tif,20180927,0.9995615433673469,/gpfs/scratch1/shared/pkhanal/satellite/AmeriFlux_US-GLE/S2L2A/20180927.tif
AmeriFlux_US-GLE,S2L2A,20181022.tif,20181022,0.9975286989795918,/gpfs/scratch1/shared/pkhanal/satellite/AmeriFlux_US-GLE/S2L2A/20181022.tif
AmeriFlux_US-GLE,S2L2A,20181106.tif,20181106,0.9577088647959183,/gpfs/scratch1/shared/pkhanal/satellite/AmeriFlux_US-GLE/S2L2A/20181106.tif
AmeriFlux_US-GLE,S2L2A,20181116.tif,20181116,0.8482142857142857,/gpfs/scratch1/shared/pkhanal/satellite/AmeriFlux_US-GLE/S2L2A/20181116.tif
AmeriFlux_US-GLE,S2L2A,20181126.tif,20181126,0.6643016581632653,/gpfs/scratch1/shared/pkhanal/satellite/AmeriFlux_US-GLE/S2L2A/20181126.tif
AmeriFlux_US-GLE,S2L2A,20181206.tif,20181206,0.7623565051020408,/gpfs/scratch1/shared/pkhanal/satellite/AmeriFlux_US-GLE/S2L2A/20181206.tif
AmeriFlux_US-GLE,S2L2A,20181216.tif,20181216,0.9798309948979592,/gpfs/scratch1/shared/pkhanal/satellite/AmeriFlux_US-GLE/S2L2A/20181216.tif
AmeriFlux_US-GLE,S2L2A,20190105.tif,20190105,0.7642697704081632,/gpfs/scratch1/shared/pkhanal/satellite/AmeriFlux_US-GLE/S2L2A/20190105.tif
AmeriFlux_US-GLE,S2L2A,20190110.tif,20190110,0.8912228954081632,/gpfs/scratch1/shared/pkhanal/satellite/AmeriFlux_US-GLE/S2L2A/20190110.tif
AmeriFlux_US-GLE,S2L2A,20190115.tif,20190115,0.8724489795918368,/gpfs/scratch1/shared/pkhanal/satellite/AmeriFlux_US-GLE/S2L2A/20190115.tif
AmeriFlux_US-GLE,S2L2A,20190125.tif,20190125,0.9274553571428571,/gpfs/scratch1/shared/pkhanal/satellite/AmeriFlux_US-GLE/S2L2A/20190125.tif
AmeriFlux_US-GLE,S2L2A,20190130.tif,20190130,0.8832110969387755,/gpfs/scratch1/shared/pkhanal/satellite/AmeriFlux_US-GLE/S2L2A/20190130.tif
AmeriFlux_US-GLE,S2L2A,20190219.tif,20190219,0.8312340561224489,/gpfs/scratch1/shared/pkhanal/satellite/AmeriFlux_US-GLE/S2L2A/20190219.tif
AmeriFlux_US-GLE,S2L2A,20190224.tif,20190224,0.8832110969387755,/gpfs/scratch1/shared/pkhanal/satellite/AmeriFlux_US-GLE/S2L2A/20190224.tif
AmeriFlux_US-GLE,S2L2A,20190301.tif,20190301,0.7621173469387755,/gpfs/scratch1/shared/pkhanal/satellite/AmeriFlux_US-GLE/S2L2A/20190301.tif
AmeriFlux_US-GLE,S2L2A,20190311.tif,20190311,0.8532366071428571,/gpfs/scratch1/shared/pkhanal/satellite/AmeriFlux_US-GLE/S2L2A/20190311.tif
AmeriFlux_US-GLE,S2L2A,20190316.tif,20190316,0.5243343431122449,/gpfs/scratch1/shared/pkhanal/satellite/AmeriFlux_US-GLE/S2L2A/20190316.tif
AmeriFlux_US-GLE,S2L2A,20190326.tif,20190326,0.7128507653061225,/gpfs/scratch1/shared/pkhanal/satellite/AmeriFlux_US-GLE/S2L2A/20190326.tif
AmeriFlux_US-GLE,S2L2A,20190331.tif,20190331,0.7790975765306123,/gpfs/scratch1/shared/pkhanal/satellite/AmeriFlux_US-GLE/S2L2A/20190331.tif
AmeriFlux_US-GLE,S2L2A,20190405.tif,20190405,0.7967952806122449,/gpfs/scratch1/shared/pkhanal/satellite/AmeriFlux_US-GLE/S2L2A/20190405.tif
AmeriFlux_US-GLE,S2L2A,20190415.tif,20190415,0.8846460459183674,/gpfs/scratch1/shared/pkhanal/satellite/AmeriFlux_US-GLE/S2L2A/20190415.tif
AmeriFlux_US-GLE,S2L2A,20190425.tif,20190425,0.9592633928571429,/gpfs/scratch1/shared/pkhanal/satellite/AmeriFlux_US-GLE/S2L2A/20190425.tif
AmeriFlux_US-GLE,S2L2A,20190505.tif,20190505,0.9592633928571429,/gpfs/scratch1/shared/pkhanal/satellite/AmeriFlux_US-GLE/S2L2A/20190505.tif
AmeriFlux_US-GLE,S2L2A,20190515.tif,20190515,0.8949298469387755,/gpfs/scratch1/shared/pkhanal/satellite/AmeriFlux_US-GLE/S2L2A/20190515.tif
