station,category,split,start_date,end_date,status,flags,has_s2,has_s1_asc,has_s1_desc,has_cm,has_dem,has_lulc,has_soil,has_era5,has_sif,has_twsa,has_labels_sm,has_labels_le,n_s2_dates,n_cm_dates,n_s2_missing_cm,cm_coverage_pct,s2_missing_years,s1_asc_missing_years,s1_desc_missing_years,cm_missing_years,satellite_missing_years,era5_missing_years,labels_sm_missing_years,labels_le_missing_years,sif_missing_years,twsa_missing_years,has_raw_satzarr,n_s2_raw,s2_token_minus_raw,s2_raw_minus_token,n_s1_asc_raw,s1_asc_token_minus_raw,s1_asc_raw_minus_token,n_s1_desc_raw,s1_desc_token_minus_raw,s1_desc_raw_minus_token,has_raw_dem,has_raw_lulc,dem_nan,lulc_nan,soil_nan_pct,era5_nan,sif_nan,twsa_nan,labels_sm_nan,labels_le_nan_frac,sm_continuous_years,le_continuous_years,lt_3yr_labels
ISMN_SCAN_PerdidoRivFarms,sm_only,train,20160101,20200614,OK,"INFO_s1_desc_missing_years(2016,2019,2020)|INFO_sif_missing_years(2016,2017)|INFO_soil_nan_pct(0.7%)",True,True,True,True,True,True,True,True,True,True,True,False,170,170,0,100.0,,,"2016,2019,2020",,,,,,"2016,2017",,True,170,0,0,108.0,0.0,0.0,2.0,0.0,0.0,True,True,False,False,0.0071,False,False,False,False,,5.0,,False
ISMN_SCAN_Perthshire,sm_only,train,20160216,20210916,OK,"INFO_no_sif|INFO_no_twsa|INFO_s1_desc_missing_years(2016,2018,2019,2021)",True,True,True,True,True,True,True,True,False,False,True,False,140,140,0,100.0,,,"2016,2018,2019,2021",,,,,,,,True,140,0,0,143.0,0.0,0.0,4.0,0.0,0.0,True,True,False,False,0.0,False,False,False,False,,6.0,,False
ISMN_SCAN_Phillipsburg,sm_only,train,20160101,20251230,OK,"INFO_no_sif|INFO_no_twsa|INFO_s2_missing_years(2016,2017,2018,2019,2020,2021)|INFO_s1_desc_missing_years(2016,2017,2018,2019,2020,2021)|INFO_cm_missing_years(2016,2017,2018,2019,2020,2021)",True,True,True,True,True,True,True,True,False,False,True,False,281,281,0,100.0,"2016,2017,2018,2019,2020,2021",,"2016,2017,2018,2019,2020,2021","2016,2017,2018,2019,2020,2021",,,,,,,True,281,0,0,530.0,0.0,0.0,99.0,0.0,0.0,True,True,False,False,0.0,False,False,False,False,,10.0,,False
ISMN_SCAN_PineNut,sm_only,val,20210703,20250805,OK,"INFO_s1_asc_missing_years(2022,2023,2024)|INFO_twsa_missing_years(2025)",True,True,True,True,True,True,True,True,True,True,True,False,182,182,0,100.0,,"2022,2023,2024",,,,,,,,2025,True,182,0,0,48.0,0.0,0.0,140.0,0.0,0.0,True,True,False,False,0.0,False,False,False,False,,5.0,,False
ISMN_SCAN_PowderMill,sm_only,val,20160101,20251230,OK,"INFO_s2_missing_years(2016,2017,2018,2019)|INFO_s1_desc_missing_years(2016,2017,2020,2021,2022,2023,2024)|INFO_cm_missing_years(2016,2017,2018,2019)|INFO_sif_missing_years(2016,2017)|INFO_twsa_missing_years(2025)|INFO_soil_nan_pct(0.1%)",True,True,True,True,True,True,True,True,True,True,True,False,144,144,0,100.0,"2016,2017,2018,2019",,"2016,2017,2020,2021,2022,2023,2024","2016,2017,2018,2019",,,,,"2016,2017",2025,True,144,0,0,296.0,0.0,0.0,5.0,0.0,0.0,True,True,False,False,0.0007,False,False,False,False,,10.0,,False
ISMN_SCAN_PowellGardens,sm_only,train,20160319,20210707,OK,"INFO_sif_missing_years(2016,2017)|INFO_soil_nan_pct(0.9%)",True,True,False,True,True,True,True,True,True,True,True,False,126,126,0,100.0,,,,,,,,,"2016,2017",,True,126,0,0,150.0,0.0,0.0,,,,True,True,False,False,0.0091,False,False,False,False,,6.0,,False
ISMN_SCAN_PrairieView#1,sm_only,train,20160101,20220505,OK,"INFO_s2_missing_years(2016,2017)|INFO_cm_missing_years(2016,2017)|INFO_sif_missing_years(2016,2017)|INFO_soil_nan_pct(0.1%)",True,True,True,True,True,True,True,True,True,True,True,False,99,99,0,100.0,"2016,2017",,,"2016,2017",,,,,"2016,2017",,True,99,0,0,158.0,0.0,0.0,345.0,0.0,0.0,True,True,False,False,0.0011,False,False,False,False,,7.0,,False
ISMN_SCAN_Price,sm_only,train,20160101,20251211,OK,"INFO_s2_missing_years(2016,2017,2018,2019,2020,2021,2022)|INFO_s1_asc_missing_years(2022,2023,2024,2025)|INFO_s1_desc_missing_years(2016)|INFO_cm_missing_years(2016,2017,2018,2019,2020,2021,2022)|INFO_sif_missing_years(2016,2017)|INFO_twsa_missing_years(2025)|INFO_soil_nan_pct(4.6%)",True,True,True,True,True,True,True,True,True,True,True,False,145,145,0,100.0,"2016,2017,2018,2019,2020,2021,2022","2022,2023,2024,2025",2016,"2016,2017,2018,2019,2020,2021,2022",,,,,"2016,2017",2025,True,145,0,0,120.0,0.0,0.0,234.0,0.0,0.0,True,True,False,False,0.0458,False,False,False,False,,10.0,,False
ISMN_SCAN_Princeton#1,sm_only,train,20160101,20180323,OK,"INFO_s1_desc_missing_years(2018)|INFO_sif_missing_years(2016,2017)",True,True,True,True,True,True,True,True,True,True,True,False,42,42,0,100.0,,,2018,,,,,,"2016,2017",,True,42,0,0,42.0,0.0,0.0,3.0,0.0,0.0,True,True,False,False,0.0,False,False,False,False,,3.0,,False
ISMN_SCAN_ReeseCenter,sm_only,train,20160311,20210601,OK,"INFO_s2_missing_years(2016,2017,2018,2019)|INFO_cm_missing_years(2016,2017,2018,2019)|INFO_sif_missing_years(2016,2017)",True,True,False,True,True,True,True,True,True,True,True,False,80,80,0,100.0,"2016,2017,2018,2019",,,"2016,2017,2018,2019",,,,,"2016,2017",,True,80,0,0,240.0,0.0,0.0,,,,True,True,False,False,0.0,False,False,False,False,,6.0,,False
